Alk,SO4,Na,Mg,Ca,Si
44,121.698053,55.702228,48.58992,75.8176,109.824
34,122.698037,62.602504,51.05892,70.8296,119.808
31,121.198061,60.0024,47.70108,60.8536,134.784
44,120.398074,62.202488,46.911,62.8488,144.768
64,120.798067,64.302572,50.17008,69.832,143.07072
22,120.798067,68.302732,46.12092,68.3356,148.06272
61,119.198093,70.402816,43.65192,73.8224,149.76
43,120.59807,72.602904,48.58992,61.8512,153.05472
69,118.998096,71.302852,43.65192,58.3596,158.04672
68,115.59815,74.802992,44.442,59.856,163.03872
55,113.498184,76.50306,46.911,62.35,173.02272
68,112.098206,79.603184,43.65192,55.3668,178.01472
101,74.7988032,95.703828,46.911,69.832,221.34528
62,90.5985504,66.50266,38.71392,60.3548,148.06272
61,93.498504,60.902436,37.035,59.856,133.08672
35,93.7984992,50.402016,36.24492,54.3692,108.12672
24,93.2985072,40.901636,31.30692,49.88,84.864
13,88.2985872,34.801392,28.83792,51.3764,71.58528
14,91.8985296,37.401496,29.628,53.3716,76.57728
12,93.2985072,39.601584,31.30692,52.374,81.56928
13,99.9984,40.901636,32.88708,53.3716,86.56128
19,100.998384,41.301652,35.35608,53.8704,89.856
29,110.998224,50.002,40.29408,59.856,109.824
29,111.89821,54.302172,43.65192,54.3692,121.50528
27,112.4982,55.702228,41.18292,59.856,149.76
26,106.698293,52.602104,39.504,55.8656,158.04672
30,100.198397,41.701668,32.88708,50.3788,116.51328
21,109.798243,46.50186,40.29408,49.3812,91.55328
11,104.39833,40.401616,37.035,48.8824,91.55328
25,111.198221,50.902036,41.973,49.3812,109.824
22,112.4982,50.902036,42.76308,49.88,119.808
33,112.098206,51.302052,43.65192,51.8752,119.808
26,109.99824,54.802192,42.76308,50.3788,129.792
29,112.098206,57.00228,42.76308,52.374,134.784
28,109.39825,58.702348,41.973,49.88,139.776
42,108.998256,67.402696,45.23208,58.8584,144.768
40,102.698357,67.802712,44.442,54.868,144.768
53,103.998336,70.402816,45.23208,55.3668,153.05472
40,102.698357,71.702868,44.442,64.3452,139.776
35,101.198381,71.302852,44.442,63.3476,139.776
34,101.698373,73.50294,46.12092,64.844,144.768
46,101.498376,73.00292,46.911,64.844,144.768
35,101.198381,72.602904,46.911,64.844,144.768
36,100.998384,72.602904,46.12092,63.8464,144.768
38,100.398394,72.202888,46.911,63.3476,144.768
